Task Statement & Title	Step-by-Step Solution	Lecture	Exam Ticket
<b>Задача 1. Train/val/test split</b><br><p>Выборка 5000 примеров. Нужно разбить на train/val/test в пропорции 60%/20%/20%. Сколько примеров в каждой части?</p>	<p>Train: $5000 \times 0.6 = 3000$ примеров.</p> <p>Val: $5000 \times 0.2 = 1000$ примеров.</p> <p>Test: $5000 \times 0.2 = 1000$ примеров.</p> <p>Проверка: $3000 + 1000 + 1000 = 5000$ ✓.</p>	Лекция_00	Разгон_(Основы_ML)
<b>Задача 2. Эпохи, батчи, итерации</b><br><p>Обучающая выборка 8000 примеров, batch size 32, планируем 50 эпох. Сколько итераций всего? Сколько итераций в одной эпохе?</p>	<p><strong>Итерации в одной эпохе:</strong> $8000 / 32 = 250$ итераций.</p> <p><strong>Всего итераций за 50 эпох:</strong> $250 \times 50 = 12\,500$ итераций.</p>	Лекция_00	Разгон_(Основы_ML)
<b>Задача 3. Confusion matrix и метрики</b><br><p>На тесте 100 примеров: 50 позитивов, 50 негативов. Модель предсказала: TP = 40, FP = 5, FN = 10, TN = 45. Найди accuracy, precision, recall, F1.</p>	<p>$\text{Accuracy} = \dfrac{40 + 45}{100} = \dfrac{85}{100} = 0.85 = 85\%$</p> <p>$\text{Precision} = \dfrac{40}{40 + 5} = \dfrac{40}{45} \approx 0.889 = 88.9\%$</p> <p>$\text{Recall} = \dfrac{40}{40 + 10} = \dfrac{40}{50} = 0.8 = 80\%$</p> <p>$\text{F1} = 2 \cdot \dfrac{0.889 \times 0.8}{0.889 + 0.8} = 2 \cdot \dfrac{0.711}{1.689} \approx 0.842 = 84.2\%$</p>	Лекция_00	Разгон_(Основы_ML)
<b>Задача 4. Дисбалансированные классы</b><br><p>900 примеров класса 0, 100 класса 1. Модель выучилась: всегда предсказывает 0. Какая accuracy? Какой recall для класса 1? Что это означает?</p>	<p>TP = 0, FP = 0, FN = 100, TN = 900.</p> <p>$\text{Accuracy} = \dfrac{0 + 900}{1000} = 90\%$ ← выглядит хорошо!</p> <p>$\text{Recall}_{\text{class 1}} = \dfrac{0}{0 + 100} = 0\%$ ← но это плохо!</p> <p><strong>Смысл:</strong> accuracy врёт при дисбалансе. Модель просто игнорирует меньший класс. Надо смотреть на Recall/Precision/F1.</p>	Лекция_00	Разгон_(Основы_ML)
<b>Задача 5. MSE vs MAE</b><br><p>Данные: $y = [1, 2, 3, 4, 100]$ (последний выброс). Предсказания одна: $\hat{y} = [2, 2, 3, 4, 50]$. Считай MSE и MAE.</p>	<p><strong>Ошибки:</strong> $e = [-1, 0, 0, 0, 50]$.</p> <p>$\text{MSE} = \dfrac{1 + 0 + 0 + 0 + 2500}{5} = \dfrac{2501}{5} = 500.2$ ← квадрат 50 доминирует!</p> <p>$\text{MAE} = \dfrac{1 + 0 + 0 + 0 + 50}{5} = \dfrac{51}{5} = 10.2$ ← более адекватно.</p> <p><strong>Вывод:</strong> MSE чувствительна к выбросам (квадрат), MAE робастнее.</p>	Лекция_00	Разгон_(Основы_ML)
<b>Задача 6. Learning rate</b><br><p>Миним Loss функции в точке $\theta = 5$. Стартуем $\theta_0 = 0$. Градиент $\nabla L = 2(\theta - 5)$. Начальный градиент $\nabla L(0) = -10$. Какой шаг сделаем с $\eta = 0.1$? С $\eta = 1$?</p>	<p>$\eta = 0.1$: $\theta_1 = 0 - 0.1 \cdot (-10) = 1$ (мягкий шаг).</p> <p>$\eta = 1$: $\theta_1 = 0 - 1 \cdot (-10) = 10$ (большой шаг, перепрыгнули минимум!).</p> <p><strong>Проверка:</strong> при $\eta = 1$ мы оказались дальше, чем ошибка — признак слишком большого learning rate.</p>	Лекция_00	Разгон_(Основы_ML)
<b>Задача 1. Число параметров</b><br><p>MLP: вход 100 признаков, три скрытых слоя по 50 нейронов, выход на 5 классов. Сколько обучаемых параметров?</p>	<p>$100\cdot50+50 = 5\,050$<br>$50\cdot50+50 = 2\,550$ (дважды: $5\,100$)<br>$50\cdot5+5 = 255$</p> <p>Итого: $5\,050 + 2\,550 + 2\,550 + 255 = \mathbf{10\,405}$.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
<b>Задача 2. Проверка размерностей</b><br><p>Батч $X$ размера $(32, 64)$ подаётся в слой <code>nn.Linear(64, 16)</code>. Какого размера $W$, $b$ и выход?</p>	<p>В PyTorch <code>Linear(in, out)</code> хранит <code>weight</code> размера $(\text{out}, \text{in}) = (16, 64)$ и <code>bias</code> размера $(16,)$. Вычисляется $Y = XW^\top + b$: $(32,64)\times(64,16) = (32,16)$.</p> <p><strong>Выход: $(32, 16)$.</strong> Размер батча никогда не меняется полносвязным слоем.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
<b>Задача 3. Один шаг backprop</b><br><p>Один нейрон, sigmoid, $w = 1$, $b = 0$, вход $x = 2$, цель $y = 0$, loss = MSE $= \frac12(a-y)^2$, $\eta = 1$. Найдите новое $w$.</p>	<p><strong>Forward:</strong> $z = 2$, $a = \sigma(2) \approx 0.8808$, $L = \frac12(0.8808)^2 \approx 0.3879$.</p> <p><strong>Backward:</strong> $\dfrac{\partial L}{\partial a} = a - y = 0.8808$; $\ \sigma'(z) = a(1-a) = 0.8808\cdot0.1192 \approx 0.1050$.</p> <p>$\delta = 0.8808 \cdot 0.1050 \approx 0.0925$; $\ \dfrac{\partial L}{\partial w} = \delta\cdot x = 0.0925\cdot 2 = 0.1850$.</p> <p><strong>Обновление:</strong> $w \leftarrow 1 - 1\cdot 0.1850 = \mathbf{0.815}$.</p> <p><em>Смысл:</em> предсказали 0.88, надо было 0 — вес уменьшился. ✓ Заодно видно проблему: $\sigma'$ уже всего 0.105, шаг маленький — сигмоида начинает насыщаться.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
<b>Задача 4. Затухание градиента численно</b><br><p>Сеть из 20 слоёв с sigmoid, все $z^{(l)} = 0$ (наилучший случай для градиента). Во сколько раз $\delta^{(1)}$ меньше $\delta^{(20)}$, если веса $\approx 1$?</p>	<p>При $z=0$ производная максимальна: $\sigma'(0) = 0.25$. На каждом шаге назад градиент домножается на 0.25.</p> <p>За 19 шагов: $0.25^{19} = 4^{-19} = 2^{-38} \approx 3.6\cdot10^{-12}$.</p> <p>Градиент упал <strong>примерно в $2.8\cdot10^{11}$ раз</strong>. Для float32 (точность ~$10^{-7}$) это уже машинный ноль. Вывод: глубокая сеть на сигмоидах не обучается в принципе — отсюда переход на ReLU и skip-connections.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
