Front (Question)	Back (Answer)	Lecture	Exam Ticket
Чем обучение с учителем отличается от без учителя?	<p>При обучении с учителем есть пары (вход, истинный выход), и мы минимизируем loss между предсказанием и истиной. Без учителя истины нет — нет пар, только входы. Целью становится найти структуру, кластеры или уменьшить размерность, и loss формулируется хитро: реконструкция, контрастные пары или информационная мера. Supervised применять легче (данные есть), unsupervised — для исследовательских задач и когда маркировка дорога.</p>	Лекция_00	Разгон_(Основы_ML)
Что такое data leakage и почему это плохо?	<p>Data leakage — когда информация из test/val просочилась в train. Причины: нормализация на всей выборке, выбор признаков на всей выборке, временные ряды где test раньше train, дублирующиеся примеры. Результат: метрика на test нереалистично хороша, потом в боевых условиях модель падает. На экзамене надо знать примеры и правила: scale параметры только из train, feature selection на train, test не смотрим при подборе гиперпараметров.</p>	Лекция_00	Разгон_(Основы_ML)
Чем отличаются недообучение и переобучение?	<p>Недообучение (underfitting): модель слишком простая, большой bias. Loss на train высокий и не снижается, loss на train ≈ loss на val. Лечение: усложнить модель. Переобучение (overfitting): модель слишком сложная, большая variance. Loss на train упал низко, но loss на val выше и растёт. Лечение: регуляризация, больше данных, рано остановиться.</p>	Лекция_00	Разгон_(Основы_ML)
Что такое bias-variance tradeoff?	<p>При фиксированном объёме данных, по мере усложнения модели, ошибка bias монотонно падает (модель может выразить больше), а ошибка variance растёт (чувствительность к шуму выборки). Итоговая ошибка = bias² + variance + шум. Оптимум где-то в середине. На практике: train loss монотонно падает, val loss сначала падает, потом растёт. Точка минимума val loss — это баланс bias и variance.</p>	Лекция_00	Разгон_(Основы_ML)
Параметры и гиперпараметры — в чём разница?	<p>Параметры — это числа внутри модели, которые обучаются из данных (веса $w$, bias $b$). Гиперпараметры — это настройки алгоритма (learning rate, batch size, архитектура, λ регуляризации). Параметры ищем градиентным спуском, гиперпараметры подбираем вручную или через grid/random search на val.</p>	Лекция_00	Разгон_(Основы_ML)
Почему accuracy врёт на дисбалансированных классах?	<p>Пример: 99% данных класс 0, 1% класс 1. Модель выучилась говорить всегда класс 0. Accuracy = 99% ← выглядит отлично! Но Recall для класса 1 = 0%, F1 = 0. Accuracy не учитывает, что нас интересует класс 1. Решение: смотреть на Precision, Recall, F1, ROC-AUC вместо Accuracy при дисбалансе.</p>	Лекция_00	Разгон_(Основы_ML)
Что такое эпоха, батч, итерация и как они связаны?	<p>Выборка N примеров, batch size B. Одна эпоха = N/B итераций (один full pass по выборке). Каждая итерация: берём батч из B примеров, делаем forward, backward, обновляем параметры. Пример: 10000 примеров, batch 100 → одна эпоха = 100 итераций. Батчирование — для параллелизма на GPU и стабильности градиента.</p>	Лекция_00	Разгон_(Основы_ML)
Как выбрать скорость обучения η?	<p>Слишком большое η — расходимся (прыгаем через минимум). Слишком малое — очень медленно. Начни с 0.001 или 0.01 (для нейросетей), посмотри на loss — если падает гладко, хорошо. Если шумит или растёт — уменьши. На практике используют адаптивные оптимизаторы (Adam, RMSprop), которые подбирают η автоматически.</p>	Лекция_00	Разгон_(Основы_ML)
Зачем нужна регуляризация и какие есть виды?	<p>Регуляризация борется с переобучением. Виды: (1) L2 — штраф за большие веса, стягивает к нулю; (2) L1 — штраф за абсолютное значение, обнуляет веса, sparse; (3) Dropout — во время обучения выключаем ~50% нейронов случайно; (4) Early stopping — останавливаем как только val loss начал расти. На практике часто комбинируют: L2 + Dropout + Early stopping.</p>	Лекция_00	Разгон_(Основы_ML)
Почему мы делим данные на train/val/test, если можно обучить на всём?	<p>Потому что на train-данных ты можешь изначально переобучиться, и ты это не заметишь. Val нужен для выбора гиперпараметров и ранней остановки — это объективная мера, как модель работает на новых данных. Test — это финальная проверка, и мы смотрим на test только один раз, чтобы не переобучиться на выбор гиперпараметров даже случайно. Если смотреть на test много раз, то он становится как val, и реальная обобщающая способность неизвестна.</p>	Лекция_00	Разгон_(Основы_ML)
Что такое нейрон и что он вычисляет?	<p>Нейрон вычисляет $a = \varphi(w^\top x + b)$ — сначала линейную комбинацию входов со своими весами плюс смещение, затем применяет нелинейную функцию активации. Геометрически линейная часть задаёт гиперплоскость, а $z = w^\top x + b$ — расстояние со знаком от точки до неё, масштабированное на $\|w\|$.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
Почему нельзя обойтись без функции активации?	<p>Композиция линейных отображений линейна: $W_2(W_1x + b_1)+b_2 = (W_2W_1)x + (W_2b_1+b_2)$. Значит любая глубокая сеть без активаций сворачивается в один линейный слой и не может выразить ничего, кроме линейной модели — например, не решит XOR. Нелинейность — единственное, что делает глубину осмысленной.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
В чём разница между однослойной и многослойной сетью?	<p>Однослойная (перцептрон) реализует линейную модель: линейную либо логистическую регрессию. Её разделяющая поверхность — гиперплоскость, поэтому нелинейно разделимые задачи (XOR) ей недоступны. Многослойная за счёт скрытых слоёв с нелинейностями строит произвольные разделяющие поверхности. Содержательно: скрытые слои учат <em>представление</em> данных, а последний слой — обычный линейный классификатор поверх него.</p>	Лекция_01	Билет_1_Полносвязные_сети_Активации_Backprop
